Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,"Aktywność w aplikacjach
Inne czynności"
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,,MULTIPLE_CHOICE,"Identyfikatory urządzenia i inne
Identyfikatory urządzenia i inne"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Zbierane"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Udostępniane"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,"Wykorzystanie i przetwarzanie danych (Nazwa)
Czy te dane są przetwarzane na bieżąco?"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Użytkownicy mogą decydować o zbieraniu tych danych"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Zbieranie danych jest wymagane (użytkownicy nie mogą go wyłączyć)"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Funkcje aplikacji"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Analityka"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Informacje od dewelopera"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zapobieganie oszustwom, bezpieczeństwo i zgodność"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Cele marketingowe"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Personalizacja"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zarządzanie kontem"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Funkcje aplikacji"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Analityka"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Informacje od dewelopera"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zapobieganie oszustwom, bezpieczeństwo i zgodność"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Cele marketingowe"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Personalizacja"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Nazwa)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zarządzanie kontem"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Zbierane"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Udostępniane"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Czy te dane są przetwarzane na bieżąco?"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Użytkownicy mogą decydować o zbieraniu tych danych"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Zbieranie danych jest wymagane (użytkownicy nie mogą go wyłączyć)"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Funkcje aplikacji"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Analityka"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Informacje od dewelopera"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zapobieganie oszustwom, bezpieczeństwo i zgodność"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Cele marketingowe"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Personalizacja"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zarządzanie kontem"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Funkcje aplikacji"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Analityka"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Informacje od dewelopera"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zapobieganie oszustwom, bezpieczeństwo i zgodność"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Cele marketingowe"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Personalizacja"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres e-mail)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zarządzanie kontem"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Zbierane"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Udostępniane"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Czy te dane są przetwarzane na bieżąco?"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Użytkownicy mogą decydować o zbieraniu tych danych"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Zbieranie danych jest wymagane (użytkownicy nie mogą go wyłączyć)"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Funkcje aplikacji"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Analityka"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Informacje od dewelopera"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zapobieganie oszustwom, bezpieczeństwo i zgodność"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Cele marketingowe"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Personalizacja"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego zbierasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zarządzanie kontem"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Funkcje aplikacji"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Analityka"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Informacje od dewelopera"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zapobieganie oszustwom, bezpieczeństwo i zgodność"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Cele marketingowe"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Personalizacja"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Dane umożliwiające identyfikację osoby)
Dlaczego udostępniasz te dane użytkownika? Zaznacz wszystkie pasujące odpowiedzi.
Zarządzanie kontem"
PSL_DATA_USAGE_RESPONSES:PSL_ADDRESS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Zbierane"
PSL_DATA_USAGE_RESPONSES:PSL_ADDRESS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres)
Czy te dane są zbierane, udostępniane, czy jedno i drugie?
Udostępniane"
PSL_DATA_USAGE_RESPONSES:PSL_ADDRESS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,"Wykorzystanie i przetwarzanie danych (Adres)
Czy te dane są przetwarzane na bieżąco?"
PSL_DATA_USAGE_RESPONSES:PSL_ADDRESS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Wykorzystanie i przetwarzanie danych (Adres)
Czy te dane są wymagane w przypadku Twojej aplikacji lub też użytkownicy mogą decydować o ich zbieraniu?
Użytkownicy mogą decydować o zbieraniu tych danych"
